text,site_id
"Cookies: In order to offer and provide a customized, personal service, PhotoPost.com uses cookies to store and help track your information as you travel throughout the site. For example, we may use cookies to help remind us who you are and to deliver content and services based upon your account information. In addition, third party advertising networks may issue cookies when serving advertisements. ",86432
"The quality news and information on newsday.com is supported by advertising revenue and a controlled program of e-mail marketing is an important element of our online publishing business. Like other Web publishers, we sometimes permit our advertising and promotional partners to e-mail you about services, features, products, special offers and unique content we believe might interest you. If you prefer not to receive e-mail communications sent directly from our advertisers or promotional partners, you will be given an opportunity to decline before you provide us information we might use for this purpose. If you decline at the time you provide us such information, we will not share the Personally Identifiable Information you provide with non-Affiliated advertisers for such purposes, though we may on occasion send you information on their behalf.",58956
"No Use by Children.  The Site is not directed to, or intended for use by, children (defined as anyone age twelve (12) or younger). Children should not use the Site or submit any information to Operator. ",63709
"However, if you have any questions regarding our privacy practices and this Privacy Policy, please contact us at the following e-mail address: privacy@store.moschino.com.  ",74265
"Protecting the privacy of the very young is especially important. For that reason, we never collect or maintain information at our website from those we actually know are under 13, and no part of our website is structured to attract anyone under 13. ",74050
We also may use the information we obtain about you in other ways for which we provide specific notice at the time of collection.,77964
"This Privacy Policy governs the manner in which The Box Office Theory Derby website collects, uses, maintains and discloses information collected from users (each, a ""User"") of the boxofficetheory.com website (""Site""). This privacy policy applies to the Site and all products and services offered by The Box Office Theory Derby website.",16607
"If you have any questions about this Privacy Policy or the practices described herein, you may contact:  ",117999
"We may also supplement the information that we collect with information from other sources to assist us in evaluating and improving the Site and Services, and to determine your preferences so that we can tailor the Site and Services to your needs.",121329
"If you opt out of these technologies, you will continue to see advertising displayed on the Site, but the advertising may not be targeted to your interests. Please remember that we do not have access to, or control over, advertisers’ or service providers’ cookies, and the information practices of third parties are not covered by this privacy policy. For more information on the use of cookies in online advertising, please see the section on third-party online advertising and visit the NAI’s website.",73776
"Kik makes it possible for your card details to be collected on your device temporarily for the purpose of passing them along to the payment processor. Kik does not store payment card details at all, although we explain that we may collect other details about the transaction (e.g. username of the person making the payment, recipient of the payment, amount and currency of payment, date of the transaction, and description of what the payment is for). If we do, this information will be collected to improve our products and services (such as Promoted Chats and Pay in Kik) and to perform analytics.",62794
"We know that our careful handling of your personal details is important to you. Therefore, we appreciate your trust that Delticom handles this information conscientiously. In the events that personal data (and user data) are collated beyond the contractual purpose you as user must actively agree for your data to be used in such a way. This consent may be revoked at any time with future effect. Simply send us an email to mytyres@delti.com.",77257
"If we make material changes to this Policy, we will notify you here, by email, or by means of a notice on our home page, at least thirty (30) days prior to the implementation of the changes.",89805
"We collect three types of information from you: i) information that you provide to us (e.g. through a voluntary registration process, sign-ups or emails); ii) information we collect or receive from others; and iii) information that is derived through automated tracking mechanisms and technology.",70666
"When you place an order for products or services on the Online Store, we allow you to provide current Financial Information for such purchase. You can always contact us prior to receiving your order to: ",77974
"The following discloses the information gathering and dissemination practices for the Digital Media Law Project's (the ""DMLP"") website (the ""Site""). We reserve the right to modify the information contained herein at anytime without prior notice. If we do make changes to our privacy policies, we will modify this page accordingly. Check this page periodically for amendments. This site and all information and materials on it are provided to you ""AS IS"" without warranty of any kind. ",22202
"PERSONAL INFORMATION-WHY AND HOW “IP ADDRESSES” ARE USEDAn IP address is a basic element of the way the Internet functions. It is a number that identifies your computer according to its IP address, and IP numbers are assigned to web sites automatically. IP addresses may also be identified in “header” information on emails. There may also be other services and occasions when IP addresses will appear. Always look carefully at what information may be displayed about you, including your IP address, and if you are unsure or uncomfortable about the appearance of your IP address, do not use that service.  ",53396
"We receive and store certain types of information whenever you interact with us. For example, like many Web sites, we use ""cookies,"" and we obtain certain types of information when your Web browser accesses our Web Sites. Examples of the information we collect and analyze include computer and connection information such as browser type, version, and operating system; session information, including page response times, download errors, and length of visits to certain pages. We may also collect technical information to help us identify your device for fraud prevention and diagnostic purposes.",62758
    * provide you with a subscription to a free service,94912
"We also allow access to our database by third parties that provide us with services, such as technical maintenance or forums and job search software, but only for the purpose of and to the extent necessary to provide those services. And if you choose to purchase items through features on our site, we may forward your information to third parties for services such as credit card processing and order fulfillment. There are also times when you provide information about yourself to us in areas of the site that are managed or participated in by third parties, such as our auction services or shopping areas. In such cases, the information may be used by us and by such third party(ies), each pursuant to its own policies. We may also provide your information to our advertisers, so that they can serve ads to you that meet your needs or match your interests. While Service Provider will seek to require such third parties to follow appropriate privacy policies and will not authorize them to use this information except for the express purpose for which it is provided, Service Provider does not bear any responsibility for any actions or policies of third parties. There may also be occasion when we are legally required to provide access to our database in order to cooperate with police investigations or other legal proceedings. In those instances, the information is provided only for that purpose. ",48929
  * demographic and other non-personally identifiable profile information about you; and,105988
"Visitors to our Web site can be confident that we are very respectful of their privacy concerns. Specifically, we recognize the importance of protecting the privacy of personally identifiable information collected about our visitors. As a general policy, no personally identifiable information, such as name, address or e-mail address, is automatically collected from visitors to our site.",126792
(we continually strive to improve our website offerings based on the information and feedback we receive from you),25554
"We may find it necessary or be legally obligated to update this Privacy Policy from time to time, so please review it frequently. When we do, we will post those changes on this page and update the effective date so that you are always aware of the information we collect, how we use it, and under what circumstances we disclose it. You acknowledge that this Privacy Policy is part of our Site Terms & Conditions, and by accessing or using our site, you agree to be bound by all of its terms and conditions. If you do not agree to these terms, please do not access or use this site. You acknowledge and agree that it is your responsibility to maintain a valid email address as a registered user, review this site and this Policy periodically and to be aware of any modifications. Your use of the site after such modifications will constitute your acknowledgment of the modified Policy; and agreement to abide and be bound by the modified Policy.",77807
You can use your password to view and edit your Data by clicking on the Services link near the top of the home page and then the various links within this section of the site.,112401
"  * restriction of our processing of your personal information, or to object to our processing; and",127555
"Personally Identifiable Information collected by CouponDeputy.com may also be used for other purposes, including but not limited to site administration, troubleshooting, processing of e-commerce transactions, administration of sweepstakes and contests, and other communications with you. Certain third parties who provide technical support for the operation of our site (our Web hosting service for example) may access such information. We will use your information only as permitted by law. In addition, from time to time as we continue to develop our business, we may sell, buy, merge or partner with other companies or businesses. In such transactions, user information may be among the transferred assets. We may also disclose your information in response to a court order, at other times when we believe we are reasonably required to do so by law, in connection with the collection of amounts you may owe to us, and/or to law enforcement authorities whenever we deem it appropriate or necessary. Please note we may not provide you with notice prior to disclosure in such cases.",1253
"In order to customize your experience on the CBS Local Web Sites, we may use cookies, web beacons, and other technologies to collect information about the content and advertisements you view on our Web Sites. Based on this information, and other information we may collect about you, we try to infer your interests and show content and advertising that is more relevant to you. For example, if you access an article about computers on one CBS Local Web Site, we may show you a computer-related advertisement on another CBS Local Web Site based on your apparent interests.",2061
      * how you got to our Services and any links you click on to leave our Services,22556
With respect to security: We always use industry-standard encryption technologies when transferring and receiving consumer data exchanged with our site.,78567
Any information collected will simply be used to determine the popularity of the web site and the individual pages within the web site.,87538
"You may always choose whether to share information about yourself with Wowza. Although our Site, Software, and Services may each fail to provide you with certain functionality or benefits if you do decline to provide information to Wowza. The Wowza Site presently does not honor browser requests or signals not to be tracked and does not subscribe or respond to “Do Not Track” lists or similar services.",127110
Ace Infoway India very strongly believes in it’s Privacy Policy. This privacy Policy applies solely to information collected by this web site. It will notify you of the following:,2861
Please visit the University of Western Ontario's Freedom of Information and Privacy Office website for more information:  http://www.uwo.ca/privacy/index.html.  ,59393
"Karups PC, Inc. does NOT collect personally identifiable information about individuals, except when such individuals specifically provide such information on a voluntary basis. For example, such personally identifiable information may be gathered from the members' area registration process. However, personally identifiable information on individual users is simply used for fraud prevention and age verification purposes and will NOT be sold or otherwise transferred to any third parties. Karups PC, Inc. reserves the right only to contact a subscriber regarding his/her membership account status, changes to the subscriber agreement and other matters relevant to the underlying service and/or the information collected. Karups PC, Inc. is very much against spam mail activities and does not participate in such mailings, nor do we release or authorize the use of membership data for such purposes. ",109911
We may send you administrative and promotional emails relating to the Website and updates about the Website.,1110
"Our dealership maintains a strict ""no-spam"" policy. Subscribers to our e-mail services (or any other feature/service found on our Web site) will not receive unsolicited e-mail messages from us. Our dealership collects information online primarily to provide our visitors with a more relevant experience on our sites. When doing so, we will make every reasonable effort to avoid excessive or irrelevant collection of data. Our dealership will take reasonable physical, electronic and managerial measures to safeguard and secure any information you provide to us (e.g. data will be stored in protected databases on secured servers with restricted access). Our dealership will not share any information you've provided to us with anyone without your consent other than to provide the service you've requested. At the time you register for any such service, you will be notified of, and asked to consent to, the sharing of your information with any particular third party necessary to the provision of the requested service. ",70620
"We do not sell, trade, or otherwise transfer to outside parties your personally identifiable information. This does not include trusted third parties who assist us in operating our website, conducting our business, or servicing you, so long as those parties agree to keep this information confidential. We may also release your information when we believe release is appropriate to comply with the law, enforce our site policies, or protect ours or others rights, property, or safety. However, non-personally identifiable visitor information may be provided to other parties for marketing, advertising, or other uses.",120000
"If you should have any questions about our Privacy Policy, the practices of this site or your dealings with this site, or if you believe that your personal information is being used for a purpose other than what is outlined in this policy, please contact the Louisiana Lottery Corporation at 555 Laurel Street, Baton Rouge, LA  70801 or by emailing info@louisianalottery.com.",67754
"Ownership and Use of Information. Any information collected by Operator in connection with your use of the Site - regardless of whether characterized as Personal Information or aggregate - shall belong exclusively to Operator and will be used, maintained, updated, disclosed or sold by Operator at its sole discretion. ",39188
You can opt out of e-mail updates by sending an e-mail to bulletin@cclonline.com requesting that you be removed from our mailing list.,20299
"session information, our cookies generally last two weeks. You are required to log-in to your MadeFreshly site after a certain period of time has elapsed to protect you against others accidentally accessing the content of your account.",68586
"If you are already registered but no longer wish to receive messages from us, please let the Operating Company know by phone, mail or email.",28848
"Business customers may change their information by contacting Customer Service at 866-842-5468, or sending an email to CustomerService@InterstateBatteries.com. After verifying your business information, the Customer Service representative can make any changes to your account.",58182
"Log data may be examined by developers in the course of solving technical problems and in tracking down badly-behaved web spiders that overwhelm the site. IP addresses of users, derived either from those logs or from records in the database are frequently used to correlate usernames and network addresses of edits in investigating abuse of the site, including the suspected use of malicious ""sockpuppets"" (duplicate accounts), vandalism, harassment of other users, or disruption of the site.",86569
"A cookie is a small file which asks permission to be placed on your computer's hard drive. Once you agree, the file is added and the cookie helps analyse web traffic or lets you know when you visit a particular site. Cookies allow web applications to respond to you as an individual. The web application can tailor its operations to your needs, likes and dislikes by gathering and remembering information about your preferences. ",47130
DeviantArt respects your privacy and is fully committed to protect your personal information and use it properly and in compliance with data privacy laws.,29551
"At IndymacBank® we value the trust you have placed in us, and we are committed to earning and maintaining your confidence. We understand there is certain information you do not want to share with everyone, and, we share your concern about safeguarding the information you provide to us. This is why we have adopted this privacy policy. This Privacy Policy is provided to you by each of the companies within the IndymacBank family that are listed at the end of this Privacy Policy. For convenience, these companies are referred to as ""Indymac,"" ""we,"" ""us,"" ""our,"" or ""ours."" The words ""you,"" ""your,"" or ""yours"" refer to each individual who is one of our customers or former customers and other individuals who obtain or request a financial product or service from us.",56024
"Cookies are not programs that come onto a user's system and damage files. Generally, cookies work by assigning a unique number to the user that has no meaning outside the assigning site. Users are also being made aware that Indiainfoline.com cannot control the use of cookies or the resulting information by advertisers or third parties hosting data for Indiainfoline.com. If a user does not want information collected through the use of cookies, there is a simple procedure in most browsers that allows the user to deny or accept the cookie feature; however, users should note that cookies may be necessary to provide the user with certain features (e.g., customized delivery of information) available from Indiainfoline.com. ",56684
Note that you can change your browser settings to disable cookies if you have privacy concerns. Disabling cookies for all sites is not recommended as it may interfere with your use of some sites. The best option is to disable or enable cookies on a per-site basis. Consult your browser documentation for instructions on how to block cookies and other tracking mechanisms.,122479
"You have the right to request to correct, supplement, delete or block the personal data stored about you. We will notify you as to whether and, if so, to what extent, we will comply with your request. If for any reason we don’t comply with your request, we will provide you with the reasons.",71886
"• We may be required from time to time to disclose users’ personal information to Governmental or law enforcing agencies or our regulators, but we will only do so under proper authority.  ",12496
"The Illinois Secretary of State understands the importance of privacy to web site visitors. Some information is collected by the Illinois Secretary of State to assist the Office with improving customer service. Personal information is collected from our web site only when you provide the information on a voluntary basis. Under no circumstances will personally identifiable information, such as name, address, driver’s license number, social security number, telephone number, and medical or disability information, be sold for commercial solicitation purposes. Personally identifiable information may be used only for purposes authorized by law.",27238
"Some university web pages may utilize ""cookies""  to better serve you with more tailored information when you return to our site. Cookies are identifiers that a web site can send to user browsers to keep on file in order to facilitate future visits to that site. Some university web pages may use cookies as a way to provide users with more tailored information when they return to those web pages. Users can set their browsers to receive notification when a web site sends them a cookie so users may accept or reject it. Note that some parts of a university web page that offers cookies may not function properly or may be considerably slower when users reject cookies. ",118633
Please see our payment processor's Privacy Policy concerning collected information.   ,19811
© Copyright 1999-2010 Digital Digest. Duplication of links or content is strictly prohibited.,29942
  * Information about what type of device you use to connect to our website,10852
Your friend may contact us at privacypolicy@bauerpublishing.com to request that we remove this information from our database.,59545
"Collection of Information by Third Parties. This website may include third-party advertising, links to other websites, and other content from third party businesses. The content posted by these parties will be reasonably identifiable as coming from a third party. The operator of this website may share non-personally identifiable (e.g., demographic) information to facilitate delivery of relevant advertisements. These third-party websites, businesses, and advertisers, or advertising companies working on their behalf, sometimes use technology to deliver (or ""serve"") the advertisements that appear on our website directly to your browser. They automatically receive your IP address when this happens. They may also use cookies, JavaScript, web beacons (also known as action tags or single-pixel gifs), and other technologies to measure the effectiveness of their ads and to personalize or optimize advertising content. We do not have access to or control over cookies or other technologies that they may use, and the information practices of these advertisers and third-party websites or businesses are not covered by this Privacy Policy but are covered by their respective privacy policies. Some, but not all, third party advertising companies provide a mechanism to opt-out of their technology. For more information and an identification of advertisers that provide an opt-out mechanism, please click the following: http://optout.networkadvertising.org.",15069
"At Earth Fare, we recognize that your privacy is important. This Privacy Policy covers the Earth Fare website. We may also post supplementary privacy notices and information on our website.",33281
"ColumbusUnderground.com does not sell or rent any personal information to any third party. We may aggregate personal information from all of our users and provide that information in the aggregate to other parties, including advertisers, for marketing and promotional purposes. However, if we do so, that information will not be in a form that will allow any third party to identify you personally.",24056
We use traffic log cookies to identify which pages are being used. This helps us analyze data about web page traffic and improve our website in order to tailor it to customer needs. We only use this information for statistical analysis purposes and then the data is removed from the system.,57366
"Gfxtra.com reserves the right, at any time, to modify, alter or update the Privacy Policy and you agree to be bound by such modifications, alterations or updates.",46694
"Please be aware that other web sites that may be accessed through our site may collect personally identifiable information about you. The information practices of those third-party web sites linked to SunnyRealtyFL.com are not covered by this privacy statement. You are solely responsible for maintaining the secrecy of your passwords or any account information. Please be careful and responsible whenever you're online. If you post personal information online that is accessible to the public, you may receive unsolicited messages from other parties in return. While we strive to protect your personal information, SunnyRealtyFL.com cannot ensure or warrant the security of any information you transmit to us, and you do so at your own risk. ",107243
"IPAddressGuide.com welcomes your comments regarding this privacy statement. If you believe that IPAddressGuide.com has not adhered to this privacy statement, please contact us electronically at the email address provided below, and we will use commercially reasonable efforts to promptly determine and remedy the problem. ",58511
  * returning documents to you or destroying data when no longer required in a secure manner or by de-identifying,51884
2\. We may be required by law to give up your data. We try to “fight the man” whenever we can and will not give up easily.,83292
"Unfortunately, no data transmission over the Internet can be guaranteed to be 100% secure. As a result, while we strive to protect your personal information, il2sturmovik.com can't ensure or warrant the security of any information you transmit to us or from our online products or services, and you do so at your own risk. Once we receive your transmission, we make our best effort to ensure its security on our systems.",55780
"Please note that third parties may independently collect data about you, including your IP address and information about the websites you visit and the links you click, on links, or other means when you visit or view ads on the Site.",121019
"Once installed, Browser Highlighter collects, stores and uses some personal information, like your country and language preferences and some web log information. Browser Highlighter uses cookies for the operation of some services. Individual plug-ins may also collect and use information for their operation:",111152
"You may change the privacy settings of your mobile device to turn off the functionality to share location information with the Service. Please note that turning off location sharing may affect certain features of the Service. If you have any questions about the privacy settings of your mobile device, we recommend that you contact the manufacturer or your mobile service provider for assistance.",16688
"  * After you place an order at Steven Alan Online, we use your information to process your order. You will receive an email confirmation with UPS tracking number in it. Occasionally, we may need to contact you by postal mail or email if we have other questions regarding your order.",105974
"Encryption - When you apply online for accounts or services, personal information obtained via applications is protected through a ""secure session"" established with industry standard technology - Secure Socket Layer (SSL) encryption. To find out more about SSL,  click here.",107186
"12\. NOTIFICATION OF CHANGES. If Artima changes its policy and seeks to use your personally identifiable information in a manner different from that stated at the time of collection, you will be notified via email or a system message visible on the Artima Network Web sites. In addition, if we make any material changes in our privacy practices that do not affect user information already stored in our database, we will post a notice on our Web site notifying users of the change. In some cases where we post the notice, we will also email users who have opted to receive communications from us to notify them of the changes in our privacy practices. Your continued use of the Artima Network following the posting of any amendment, modification or change shall constitute your acceptance thereof. ",9050
