name,body
1mg,"['Get up to 25% off on medicines', 'Please read this privacy policy carefully by accessing or using the\n            website, you agree to be bound by the terms described herein and all the\n            terms incorporated by reference. If you do not agree to all of these\n            terms, do not use the website.', 'This privacy policy (“Privacy Policy”) applies to your use of the domain name www.1mg.com, an internet based portal, and 1mg, a mobile application and operated by Tata 1MG Healthcare Solutions Private Limited, a company duly incorporated under the provisions of the Companies Act, 2013 (hereinafter, referred to as “1mg” or “We” or “Our” or “Us” or “Company”). The domain name and the mobile application are collectively referred to as “Website”. This Privacy Policy is also applicable to the employees and consultants of the Company.', 'The Website is a platform that facilitates the purchase of\n                            pharmaceutical products for sale by various relevant pharmacies\n                            (hereinafter referred to as “Services”, with the relevant\n                            pharmacies referred to as “Sellers”). The arrangement between the\n                            Sellers and 1mg shall be governed in accordance with this Privacy\n                            Policy and the Terms of Use. The Services would be made available\n                            to such natural persons who have agreed to become buyers on the\n                            Website after obtaining due registration, in accordance with the\n                            procedure as determined by 1mg, from time to time (referred to as\n                            “You” or “Your” or “Yourself” or “User”, which terms shall also\n                            include natural persons who are accessing the Website merely as\n                            visitors) as well as the employees and consultants of the Company.\n                            The Services are offered to the Users through various modes which\n                            shall include issue of discount coupons and vouchers that can be\n                            redeemed for various goods/ services offered for sale by the\n                            Sellers.', 'We have implemented reasonable security practices and procedures\n                            that are commensurate with the information assets being protected\n                            and with the nature of our business. While we try our best to\n                            provide security that is commensurate with the industry standards,\n                            because of the inherent vulnerabilities of the internet, we cannot\n                            ensure or warrant complete security of all information that is\n                            being transmitted to us by you.', 'For the purpose of providing the Services and for other purposes\n                            identified in this Privacy Policy, 1mg will be required to collect\n                            and host certain data and information of the Users. 1mg is\n                            committed to protecting the Personal Information of the Users and\n                            takes all reasonable precautions for maintaining confidentiality\n                            of the User’s Personal Information. This Privacy Policy has been\n                            designed and developed to help you understand the following:', 'The type of Personal Information (including Sensitive Personal\n                                    Data or Information) that 1mg collects from the Users;', 'The purpose of collection, means and modes of usage of such\n                                    Personal Information by 1mg;', 'How and to whom 1mg will disclose such information;', 'How 1mg will protect the Personal Information including\n                                    Sensitive Personal Data or Information that is collected from\n                                    the Users; and', 'How Users may access and/ or modify their Personal\n                                    Information.', ""This Privacy Policy shall apply to the use of the Website by all\n                            Users / Sellers. Accordingly, a condition of each User's use of\n                            and access to the Website and to the other services provided by\n                            1mg to Users is their acceptance of this Privacy policy. Any User\n                            is required to read and understand the provisions set out herein\n                            prior to submitting any Sensitive Personal Data or Information to\n                            1mg, failing which they are required to leave the Website\n                            immediately."", 'This Privacy Policy is published in compliance of the (Indian)\n                            Information Technology Act, 2000 and the rules, regulations,\n                            guidelines and clarifications framed thereunder, including the\n                            (Indian) Information Technology (Reasonable Security Practices and\n                            Procedures and Sensitive Personal Data or Information) Rules,\n                            2011.', '“Personal Information” means any information that relates to a\n                            natural person, which, either directly or indirectly, in\n                            combination with other information available with 1mg, is capable\n                            of identifying the person concerned.', '“Sensitive Personal Data or Information” means Personal\n                            Information of any individual relating to password; financial\n                            information such as bank account or credit card or debit card or\n                            other payment instrument details; physical, physiological and\n                            mental health condition; sexual orientation; medical records and\n                            history; biometric information; any detail relating to the above\n                            as provided to or received by 1mg for processing or storage.\n                            However, any data/ information relating to an individual that is\n                            freely available or accessible in public domain or furnished under\n                            the Right to Information Act, 2005 or any other law shall not\n                            qualify as Sensitive Personal Data or Information.', 'Types of personal information collected by 1MG:', 'A User may have limited access to the Website and utilize some of\n                            the Services provided by 1mg without creating an account on the\n                            Website. Unregistered Users can access some of the information and\n                            details available on the Website. In order to have access to all\n                            the features and benefits on our Website, a User may be required\n                            to first create an account on our Website. As part of the\n                            registration process, 1mg may collect the following categories of\n                            Personal Information from the Users (hereinafter collectively\n                            referred to as “User Information”):', 'Address (including country and ZIP/postal code);', 'Other details as the User may volunteer.', 'In order to avail the Services, the Users may be required to\n                            upload copies of their prescriptions, on the Website and/ or\n                            e-mail the same to 1mg in accordance with the Terms of Use and the\n                            prescriptions will be stored/ disclosed by 1mg only in the manner\n                            specified in this Privacy Policy and the Terms of Use. The term\n                            “User Information” shall also include any such prescriptions\n                            uploaded or otherwise provided by Users.', '1mg may keep records of telephone calls received and made for\n                            making inquiries, orders, or other purposes for the purpose of\n                            administration of Services.', ""1mg may also receive and/or hold information about the User’s\n                            browsing history including the URL of the site that the User\n                            visited prior to visiting the website as well as the Internet\n                            Protocol (IP) address of each User's computer (or the proxy server\n                            a User used to access the World Wide Web), User's computer\n                            operating system and type of web browser the User is using as well\n                            as the name of User's ISP. The Website uses temporary cookies to\n                            store certain data (that is not Sensitive Personal Data or\n                            Information) that is used by 1mg and its service providers for the\n                            technical administration of the Website, research and development,\n                            and for User administration."", 'The Website may enable User to communicate with other Users or to\n                            post information to be accessed by others, whereupon other Users\n                            may collect such data. 1mg hereby expressly disclaims any\n                            liability for any misuse of such information that is made\n                            available by visitors in such a manner.', '1mg does not knowingly collect Personal Information from children.', '1mg may in future include other optional requests for information\n                            from the User including through user surveys in order to help 1mg\n                            customize the Website to deliver personalized information to the\n                            User and for other purposes are mentioned herein. Such information\n                            may also be collected in the course of contests conducted by 1mg.\n                            Any such additional Personal Information will also be processed in\n                            accordance with this Privacy Policy.', 'Purposes for which your information may be used by 1MG:', '1mg will retain User Information only to the extent it is\n                            necessary to provide Services to the Users. The information which\n                            1mg collects from you may be utilized for various business and/or\n                            regulatory purposes including for the following purposes:', 'Registration of the User on the Website;', 'Processing the User’s orders / requests and provision of\n                                    Services (including provision of safe Services);', 'Completing transactions with Users effectively and billing for\n                                    the products/ Services provided;', 'Technical administration and customization of Website;', 'Ensuring that the Website content is presented to the Users in\n                                    an effective manner;', 'Delivery of personalized information and target advertisements\n                                    to the User;', 'Improvement of Services, features and functionality of the\n                                    Website;', 'Research and development and for User administration\n                                    (including conducting user surveys);', 'Non-personally identifiable information, exclusively owned by\n                                    1mg may be used in an aggregated or non-personally\n                                    identifiable form for internal research, statistical analysis\n                                    and business intelligence purposes including those for the\n                                    purposes of determining the number of visitors and\n                                    transactional details, and 1mg may sell or otherwise transfer\n                                    such research, statistical or intelligence data in an\n                                    aggregated or non-personally identifiable form to third\n                                    parties and affiliates;', 'Dealing with requests, enquiries, complaints or disputes and\n                                    other customer care related activities including those arising\n                                    out of the Users’ request of the Services and all other\n                                    general administrative and business purposes;', 'In case of any contests conducted by 1mg in which the User\n                                    participates, the User Information may be used for prize\n                                    fulfillment and other aspects of any contest or similar\n                                    offering;', 'Communicate any changes in our Services or this Privacy Policy\n                                    or the Terms of Use to the Users;', 'Verification of identity of Users and perform checks to\n                                    prevent frauds; and', 'Investigating, enforcing, resolving disputes and applying our\n                                    Terms of Use and Privacy Policy, either ourselves or through\n                                    third party service providers.', 'Disclosure and transfer of your personal information:', '1mg may need to disclose/ transfer User’s Personal Information to\n                            the following third parties for the purposes mentioned in this\n                            Privacy Policy and the Terms of Use:', 'To Sellers and other service providers appointed by 1mg for\n                                    the purpose of carrying out services on 1mg’s behalf under\n                                    contract. Generally, these contractors do not have any\n                                    independent right to share this information, however certain\n                                    contractors who provide services on the Website, including the\n                                    providers of online communications services, will have rights\n                                    to use and disclose the Personal Information collected in\n                                    connection with the provision of these services in accordance\n                                    with their own privacy policies.', 'To our affiliates in India or in other countries who may use\n                                    and disclose your information for the same purposes as us.', ""To government institutions/ authorities to the extent required\n                                    a) under the laws, rules, and regulations and/ or under orders\n                                    of any relevant judicial or quasi-judicial authority; b) to\n                                    protect and defend the rights or property of 1mg; c) to fight\n                                    fraud and credit risk; d) to enforce 1mg's Terms of Use (to\n                                    which this Privacy Policy is also a part) ; or e) when 1mg, in\n                                    its sole discretion, deems it necessary in order to protect\n                                    its rights or the rights of others."", 'If otherwise required by an order under any law for the time\n                                    being in force including in response to enquiries by\n                                    Government agencies for the purpose of verification of\n                                    identity, or for prevention, detection, investigation\n                                    including cyber incidents, prosecution, and punishment of\n                                    offences.', 'In case of contests conducted by 1mg in which the User\n                                    participates, the concerned User’s information may be\n                                    disclosed to third parties, also be disclosed to third parties\n                                    to the extent necessary for prize fulfilment and other aspects\n                                    of such contest or similar offering.', '1mg makes all User Information accessible to its employees and\n                            data processors only on a need-to-know basis. All 1mg employees\n                            and data processors, who have access to, and are associated with\n                            the processing of User Information, are obliged to respect its\n                            confidentiality.', ""Non-personally identifiable information may be disclosed to third\n                            party ad servers, ad agencies, technology vendors and research\n                            firms to serve advertisements to the Users. 1mg may also share its\n                            aggregate findings (not specific information) based on information\n                            relating to the User’s internet use to prospective, investors,\n                            strategic partners, sponsors and others in order to help growth of\n                            1mg's business."", '1mg may also disclose or transfer the User Information, to another\n                            third party as part of reorganization or a sale of the assets or\n                            business of a 1mg corporation division or company. Any third party\n                            to which 1mg transfers or sells its assets will have the right to\n                            continue to use the Personal Information and/ or other information\n                            that a User provide to us.', 'All the information collected/ stored under this Privacy Policy\n                            and Terms of Use is maintained by 1mg in electronic form on its\n                            equipment, and on the equipment of its employees. User Information\n                            may also be converted to physical form from time to time.\n                            Regardless of the manner of storage, 1mg will keep all User\n                            Information confidential and will use/ disclose it only in the\n                            manner specified under the Privacy Policy and Terms of Use.', 'Part of the functionality of the Website is assisting the Sellers\n                            to maintain and organize such information to effect sale and\n                            purchase of products. 1mg may, therefore, retain and submit all\n                            such records to the appropriate authorities, or to Sellers who\n                            request access to such information.', 'The Website is also designed for assisting the Users to access\n                            information relating to pharmaceutical products. 1mg may,\n                            therefore, retain and submit all such records to the relevant\n                            Users.', '1mg will also ensure that User Information is not kept for a\n                            period longer than is required for the purposes for which it is\n                            collected or as required under any applicable law.', 'The links to third-party advertisements, third party websites or\n                            any third party electronic communication services (referred to as\n                            “Third Party Links”) may be provided on the Website which are\n                            operated by third parties and are not controlled by, or affiliated\n                            to, or associated with 1mg unless expressly specified on the\n                            Website.', 'If you access any such Third Party Links, we request you review\n                            the website’s privacy policy. We are not responsible for the\n                            policies or practices of Third Party Links.', '1mg adopts reasonable security practices and procedures to\n                            include, technical, operational, managerial and physical security\n                            control measures, as prescribed under the applicable laws of\n                            India, in order to protect the Personal Information in its\n                            possession from loss, misuse and unauthorized access, disclosure,\n                            alteration and destruction.', '1mg takes adequate steps to ensure that third parties to whom the\n                            Users’ Sensitive Personal Data or Information may be transferred\n                            adopt reasonable level of security practices and procedures to\n                            ensure security of Personal Information.', 'You hereby acknowledge that 1mg is not responsible for any\n                            intercepted information sent via the internet, and you hereby\n                            release us from any and all claims arising out of or related to\n                            the use of intercepted information in any unauthorized manner.', ""User's rights in relation to their personal information collected by\n                        1MG:"", 'All the information provided to 1mg by a User, including Sensitive\n                            Personal Data or Information, is voluntary. User has the right to\n                            withdraw his/ her/ its consent at any time, in accordance with the\n                            terms of this Privacy Policy and the Terms of Use, but please note\n                            that withdrawal of consent will not be retroactive.', 'Users can access, modify, correct and delete the Personal\n                            Information provided by them which has been voluntarily given by\n                            the User and collected by 1mg in accordance with this Privacy\n                            Policy and Terms of Use. However, if the User updates his/ her\n                            information, 1mg may keep a copy of the information which User\n                            originally provided to 1mg in its archives for User documented\n                            herein. In case the User seeks to update or correct, his/ her\n                            Personal Information, the User may exercise these rights by\n                            emailing 1mg at', 'and communicate the change(s) for updating 1mg’s records.', 'If a User, as a casual visitor, has inadvertently browsed any\n                            other pages of this Website prior to reading the Privacy Policy\n                            and the Terms of Use, and such User does not agree with the manner\n                            in which such information is obtained, stored or used, merely\n                            quitting this browser application should ordinarily clear all\n                            temporary cookies installed by 1mg. All visitors, however, are\n                            encouraged to use the ""clear cookies"" functionality of their\n                            browsers to ensure such clearing/ deletion, as 1mg cannot\n                            guarantee, predict or provide for the behaviour of the equipment\n                            of all the visitors of the Website.', 'If a User has inadvertently submitted any Personal Information to\n                            1mg prior to reading the Privacy Policy and Terms of Use, and such\n                            User does not agree with the manner in which such information is\n                            collected, stored or used, then such User can ask 1mg, by sending\n                            an email to', 'containing the rectification required, whether 1mg is keeping\n                            Personal Information about such User, and every User is also\n                            entitled to require 1mg to delete and destroy all such information\n                            relating to such user (but not other Users) in its possession.', 'In case the User does not provide his/ her information or consent\n                            for usage of Personal Information or subsequently withdraws his/\n                            her consent for usage of the Personal Information so collected,\n                            1mg reserves the right to discontinue the services for which the\n                            said information was sought.', ""1mg does not exercise control over the sites displayed as search\n                            results or links from within its Services. These other sites may\n                            place their own cookies or other files on the Users' computer,\n                            collect data or solicit Personal Information from the Users, for\n                            which 1mg is not responsible or liable. Accordingly, 1mg does not\n                            make any representations concerning the privacy practices or\n                            policies of such third parties or terms of use of such websites,\n                            nor does 1mg guarantee the accuracy, integrity, or quality of the\n                            information, data, text, software, sound, photographs, graphics,\n                            videos, messages or other materials available on such websites.\n                            1mg encourages the User to read the privacy policies of that\n                            website."", '1mg shall not be responsible in any manner for the authenticity of\n                            the Personal Information or Sensitive Personal Data or Information\n                            supplied by the User to 1mg or any Seller. If a User provides any\n                            information that is untrue, inaccurate, not current or incomplete\n                            (or becomes untrue, inaccurate, not current or incomplete), or 1mg\n                            has reasonable grounds to suspect that such information is untrue,\n                            inaccurate, not current or incomplete, 1mg has the right to\n                            suspend or terminate such account at its sole discretion.', ""1mg shall not be responsible for any breach of security or for any\n                            actions of any third parties that receive Users' Personal\n                            Information or events that are beyond the reasonable control of\n                            1mg including, acts of government, computer hacking, unauthorized\n                            access to computer data and storage device, computer crashes,\n                            breach of security and encryption, etc."", ""The User is responsible for maintaining the confidentiality of the\n                            User's account access information and password. The User shall be\n                            responsible for all uses of the User's account and password,\n                            whether or not authorized by the User. The User shall immediately\n                            notify 1mg of any actual or suspected unauthorized use of the\n                            User's account or password."", '1mg will communicate with the Users through email and notices\n                            posted on the Website or through other means available through the\n                            Service, including text and other forms of messaging. The Users\n                            can ask 1mg, by sending an email to\xa0care@1mg.com\xa0containing the\n                            rectification required.', ""1mg may update this Privacy Policy at any time, with or without\n                            advance notice. In the event there are significant changes in the\n                            way 1mg treats User's Personal Information, 1mg will display a\n                            notice on the Website or send Users an email. If a User uses the\n                            Service after notice of changes have been sent to such User or\n                            published on the Website, such User hereby provides his/ her/ its\n                            consent to the changed practices."", '1mg addresses discrepancies and grievances of all Users with\n                            respect to processing of information in a time bound manner. For\n                            this purpose, 1mg has designated Mr. Jehan Jit Singh as the\n                            grievance officer, who will redress the grievances of the Users\n                            expeditiously but within one month from the date of receipt of\n                            grievance, and who can be reached by:', 'Sending a letter marked to the attention of “Grievance\n                                    Officer, 1mg to B-23, G.T. Karnal Road Industrial Area, Delhi-\n                                    110033”, or', 'You may contact us with any questions relating to this Privacy Policy by\n                submitting your request', 'B-23, G.T. Karnal Road Industrial Area, Delhi- 110033', 'By entering this website and clicking the “I accept” button, the User\n                consents to the terms of this Privacy Policy. By submitting his/her\n                data/information to the Company, the visitor will be treated as having\n                given his/her permission for processing the same in a manner provided in\n                this Privacy Policy.', 'Get the link to download App', 'All products displayed on Tata 1mg are procured from verified and licensed pharmacies. All labs listed on the platform are accredited', 'Tata 1mg uses Secure Sockets Layer (SSL) 128-bit encryption and is Payment Card Industry Data Security Standard (PCI DSS) compliant', 'Find affordable medicine substitutes, save up to 50% on health products, up to 80% off on lab tests and free doctor consultations.', ""India's only LegitScript and ISO/IEC 27001 certified online healthcare platform"", 'Tata 1mg provides you with medical information which is curated, written and verified by experts, accurate and trustworthy. Our experts create high-quality content about medicines, diseases, lab investigations, Over-The-Counter (OTC) health products, Ayurvedic herbs/ingredients, and alternative remedies.', 'Get free medicine home delivery in over 1800 cities across India. You can also order Ayurvedic, Homeopathic and other Over-The-Counter (OTC) health products. Your safety is our top priority. All products displayed on Tata 1mg are procured from verified and licensed pharmacies.', 'Book any lab tests and preventive health packages from certified labs and get tested from the comfort of your home. Enjoy free home sample collection, view reports online and consult a doctor online for free.', 'Got a health query? Consult doctors online from the comfort of your home for free. Chat privately with our registered medical specialists to connect directly with verified doctors. Your privacy is guaranteed.', ""© 2021 Tata 1mg. All rights reserved. In compliance with Drugs and Cosmetics Act, 1940 and Drugs and Cosmetics Rules, 1945, we don't process requests for Schedule X and other habit forming drugs.""]"
apna,"['apna app is a commercial app by Apnatime Tech Private Limited. This page is used to inform visitors regarding our policies with the collection, use, and disclosure of Personal Information for anyone using the app and website of Apnatime Tech.', 'If you choose to use our Service, then you agree to the collection and use of information in relation to this policy. The Personal Identification Information that we collect is used for providing and improving the Service. We will not use or share your information with anyone except as described in this Privacy Policy.', 'The personal information you provide on apna app when you fill out your profile is public, such as your name, location, gender, profile picture, education and professional info including where you are working. This is hereinafter called Public Profile. Your Public Profile will be published on', 'Be associated with you on the internet', ""Show up when someone does a search on search engine\nWe also use your Public Profile, to help connect you with friends and family which increases your and your friends' chances to find suitable job opportunities."", 'We may collect Personal Identification Information of users including the information that is available on the internet, such as from Facebook, LinkedIn, Twitter and Google, or publicly available information that we acquire from service providers. We collect this information to identify users for better communication, processing and personalization of the Services provided by Applozic.', 'We may collect non-personal identification information about users whenever they interact with our site. Non-personal identification information may include the type of mobile phone and technical information about users, such as the operating system and the Internet service providers utilized including IP address and other similar information.', 'We collect the information about how you interact with our Service, This information may include your IP address, geographical location, browser type, referral source, length of visit, pages viewed and items clicked.', 'For a better experience, while using our Service, you are required to provide us with certain personally identifiable information for your Public Profile, including but not limited to:', ', such as your first name, last name, gender, username and/or similar;', ', such as your mobile number, postal address, email address and telephone number;', ', such as your education, work experience, skills, photo, city or area. Professional information helps you to get more from our Services, including helping employers find you. Please do not post or add personal data to your resume that you would not want to be publicly available.', ', such as information you provide when you respond to surveys, participate in market research activities, report a problem with Service, receive customer support or otherwise correspond with us;', ', such as information about how you use the Service and interact with us; and', ', such as your preferences for receiving marketing communications and details about how you engage with them.', ""apna app's mission is to connect talent to job opportunities and employers to quality talent. We are committed to be transparent about the data we collect about you, how it is used and with whom it is shared."", 'When you use the services of our customers and partners, such as employers or prospective employers and applicant tracking systems, we share your Public Profile (e.g., your job title and name of the company where you work) with prospective employers to enable you to get job interviews.', 'When you sync your contacts with our Services, we import and store the contacts list to our servers. You have the option to deny us the access to your contacts list.', 'We also receive personal data (including contact information) about you when others import or sync their contacts with our Services.', 'When you give location permission, we access information that is derived from your GPS. We may use third-party cookies and similar technologies to collect some of this information.', 'When you opt-in for storage permission, we access your device storage like gallery photos.', 'Granting camera permission allows us to access the photo that you click to be displayed on your resume.', 'Voice and audio information when you use audio features.', 'We collect your contacts to help you keep growing your network by suggesting connections for you and your friends.', 'To provide you with location-based services like finding jobs near you.', 'To allow you to select your profile picture from your existing photos in the gallery. A good resume photo helps you stand out among other candidates.', 'To allow you to click your profile picture. A good resume photo helps you stand out among other candidates.', 'To allow you to send audio messages within the app.', 'For enabling the Call HR feature of the app.', 'To effectively provide and introduce any new Services to you, we collect and use certain information, including, but not limited to, such as:', '• We log your visits and use of our Services.', '• We receive data from your devices and networks, including location data.', '• We may further request and store additional information.', ""• To monitor usage or traffic patterns (including to track users' movements around the Services) and gather demographic information."", '• To communicate directly with you, including by sending you information about new products and services.', '• To deliver you a personalized experience. May come in the form of messages, delivering tailor-made ads based on your interest and browsing history.', 'We adopt appropriate data collection, storage and processing practices and security measures to protect against unauthorized access, alteration, disclosure or destruction of your personal information, username, password, transaction information and data stored on our app. The data is stored securely on our servers -', 'We do not sell, trade, or rent users personal identification information to any third party. We may share generic aggregated demographic information not linked to any personal identification information regarding visitors and users with our business partners, trusted affiliates and advertisers for the purposes outlined above.', 'The app does use third-party services that may collect information used to identify you.', 'Link to privacy policy of third-party service providers used by the app', '• We may share your personal information with our parent companies, subsidiaries and affiliates.\n• We may share your personal information with partners to assist us with marketing, advertising our Services, or providing, maintaining and improving the features and functionality of the Services.', 'Whenever you use our Service, including our sites, app and platform technology, such as when you view or click on content (e.g., learning video) or perform a search, install or update one of our mobile apps, post messages or apply for jobs and in a case of an error in the app we collect data and information (through third-party products) on your phone called Log Data. This Log Data may include information such as log-ins, cookies, your device Internet Protocol (""IP"") address, device name, operating system version, the configuration of the app when utilizing our Service, the time and date of your use of the Service, and other statistics to identify you and log your use.', ""Cookies are files with a small amount of data that are commonly used as anonymous unique identifiers. These are sent to your browser from the websites that you visit and are stored on your device's internal memory."", 'This Service does not use these ""cookies"" explicitly. However, the app may use third party code and libraries that use ""cookies"" to collect information and improve their services. You have the option to either accept or refuse these cookies and know when a cookie is being sent to your device. If you choose to refuse our cookies, you may not be able to use some portions of this Service.', 'We may employ third-party companies and individuals due to the following reasons:', 'To facilitate our Service; To provide the Service on our behalf; To perform Service-related services; or To assist us in analyzing how our Service is used. We want to inform users of this Service that these third parties have access to your Personal Information. The reason is to perform the tasks assigned to them on our behalf. However, they are obligated not to disclose or use the information for any other purpose.', 'apna has access to the one-to-one messages of users of the app and we review these messages periodically for moderation of trust and safety related concerns. However, apna never shares this data with any third-party.', 'We value your trust in providing us your Personal Information, thus we are striving to use commercially acceptable means of protecting it. But remember that no method of transmission over the internet, or method of electronic storage is 100% secure and reliable, and we cannot guarantee its absolute security.', 'This Service may contain links to other sites. If you click on a third-party link, you will be directed to that site. Note that these external sites are not operated by us. Therefore, we strongly advise you to review the Privacy Policy of these websites. We have no control over and assume no responsibility for the content, privacy policies, or practices of any third-party sites or services.', 'These Services do not address anyone under the age of 13. We do not knowingly collect personally identifiable information from children under 13. In the case we discover that a child under 13 has provided us with personal information, we immediately delete this from our servers. If you are a parent or guardian and you are aware that your child has provided us with personal information, please contact us so that we will be able to do necessary actions.', 'No Impersonation or False Information to be Provided', 'You have to use your actual name on the Platform, you are required to input your correct phone number to use our Services. You will be getting a job based on your APNA account. You will not falsely represent yourself as another person or representative of another person to use our Services. You will not lie about your details, for any reason.', 'APNA takes the trust and safety all its users seriously. We do not allow content that promotes abuse, fraud, MLM/network marketing, job openings that charge fees, suicide, self-harm, or is intended to shock or disgust users. Strict action is taken against such content and with people posting such messages/content in the group.', 'To ensure the best possible experience for all the users of the app, we have established some basic guidelines called the Community Guidelines. The Community Guidelines gets updated periodically. You will be notified when this happens.', 'Apnatime Technologies does not hold any responsibility for any incident, fraud, cheat or crime that may happen to any users. We advise you to check and verify information of other users before proceeding with any transactions or interaction among users. Also, do not share your private information on group, to prevent the use of such information for any un-safe purposes.', ""When you see something inappropriate or come across an offending content, click on the 3 vertical dots on the top right corner of the post and choose to 'report' post. This alerts the admins about the post and allows for necessary action to be taken."", 'What to do if you find suicide & self-injury related content', ""If you come across content in which someone expresses suicidal thoughts or is engaging in self-harm, click on the 3 vertical dots on the top right corner of the post and choose to 'report' post. This alerts the admins about the post and allows for necessary action to be taken."", 'We may update our Privacy Policy from time to time. Thus, you are advised to review this page periodically for any changes. We will notify you of any changes by posting the new Privacy Policy on this page. These changes are effective immediately after they are posted on this page.', 'If you have any questions or suggestions about our Privacy Policy, do not hesitate to contact us at:', '3rd Floor, 23, Plot No. 232, 1-KANGRA BHUVAN, Dr. Annie Besant Road,', '© 2021 Apna. All rights reserved']"
big_basket,"['eVoucher bas be applied to this order right away', 'The following promos are available for you', 'Thank you for being a bigbasket!', 'free delivery tokens. The free delivery\n                tokens are valid till', '. A free delivery token is\n                automatically used each time a delivery charge is due. So, enjoy the bigbasket experience even\n                more with', 'You are seeing our catalogue in', 'You are viewing our product catalogue in', 'Select your city to start shopping', 'Sorry, we do not deliver in the selected location. Please Try again.', 'Your basket is empty. Start shopping now!', 'You will be taken to the bigbasket grocery shopping. Confirm to proceed', 'Your area will be changed to .', 'Product Prices, vouchers and promo are city specific and may change accordingly', 'Your area will be changed to .', 'Product Prices, vouchers and promos may change\n        accordingly.', 'Innovative Retail Concepts Pvt Ltd (“IRCPL”) is the licensed owner of the brand bigbasket.com and the website bigbasket.com (”The Site”) from Supermarket Grocery Supplies Pvt Ltd (“SGSPL”). IRCPL respects your privacy. This Privacy Policy provides succinct details about how your data is collected and used by IRCPL on the Site. As a visitor to the Site/ Customer, you are advised to please read the Privacy Policy carefully. By accessing the services provided by the Site you agree to the collection and use of your data by IRCPL in the manner provided in this Privacy Policy.', 'What information is, or maybe, collected from you?', 'As part of the registration process on the Site, IRCPL may collect the following personally identifiable information about you: Name including first and last name, email address, mobile phone number and contact details, Postal code, Demographic profile (like your age, gender, occupation, education, address etc.) and information about the pages on the site you visit/access, the links you click on the site, the number of times you access the page and any such browsing information.', 'How do we collect the Information?', ""IRCPL will collect personally identifiable information about you only as part of a voluntary registration process, on-line survey or any combination thereof. The Site may contain links to other Web sites. IRCPL is not responsible for the privacy practices of such Web sites which it does not own, manage or control. The Site and third-party vendors, including Google, use first-party cookies (such as the Google Analytics cookie) and third-party cookies (such as the DoubleClick cookie) together to inform, optimize, and serve ads based on someone's past visits to the Site."", 'IRCPL will use your personal information to provide personalized features to you on the Site and to provide for promotional offers to you through the Site and other channels. IRCPL will also provide this information to its business associates and partners to get in touch with you when necessary to provide the services requested by you. IRCPL will use this information to preserve transaction history as governed by existing law or policy. IRCPL may also use contact information internally to direct its efforts for product improvement, to contact you as a survey respondent, to notify you if you win any contest; and to send you promotional materials from its contest sponsors or advertisers. IRCPL will also use this information to serve various promotional and advertising materials to you via display advertisements through the Google Ad network on third party websites. You can opt-out of Google Analytics for Display Advertising and customize Google Display Network ads using the Ads Preferences Manager. Information about Customers on an aggregate (excluding any information that may identify you specifically) covering Customer transaction data and Customer demographic and location data may be provided to partners of IRCPL for the purpose of creating additional features on the website, creating appropriate merchandising or creating new products and services and conducting marketing research and statistical analysis of customer behaviour and transactions.', 'With whom your information will be shared', ""IRCPL will not use your financial information for any purpose other than to complete a transaction with you. IRCPL does not rent, sell or share your personal information and will not disclose any of your personally identifiable information to third parties. In cases where it has your permission to provide products or services, you've requested and such information is necessary to provide these products or services with the information may be shared with IRCPL’s business associates and partners. IRCPL may, however, share consumer information on an aggregate with its partners or third parties where it deems necessary. In addition, IRCPL may use this information for promotional offers, to help investigate, prevent or take action regarding unlawful and illegal activities, suspected fraud, potential threat to the safety or security of any person, violations of the Site’s terms of use or to defend against legal claims; special circumstances such as compliance with subpoenas, court orders, requests/order from legal authorities or law enforcement agencies requiring such disclosure."", 'How do we protect your information?', 'To protect against the loss, misuse, unauthorised access, damage and alteration of the information under its control, IRCPL has in place appropriate and reasonable security measures and safeguards, in compliance with applicable laws. For example, IRCPL servers are accessible only to authorised personnel and your information is shared with the authorised personnel on a need to know basis to complete the transaction and to provide the services requested by you. Although IRCPL will endeavour to safeguard the confidentiality of your personally identifiable information, transmissions made by means of the Internet cannot be made absolutely secure. By using this Site, you agree that IRCPL will have no liability for disclosure of your information due to errors in transmission or unauthorized acts of third parties. By using this Site or providing information, you agree (i) that we can communicate with you electronically regarding security, privacy, and administrative issues relating to your use of the Site; and (ii) that we can take adequate physical, managerial, and technical safeguards to preserve the integrity and security of your data till the time you use the Site or the services provided by the Site (directly or indirectly).', 'How can you correct inaccuracies in the information?', 'To correct or update any information you have provided, the Site allows you to do it online. In the event of loss of access details, you can send an email to: customerservice@bigbasket.com', ""Impacts due to Changes in Bigbasket's Business."", ""If Bigbasket engages in a sale of some or all of Bigbasket's assets or stock, merger, acquisition, dissolution, bankruptcy, reorganization, financing, public offering of securities, acquisition of all or a portion of our business, a similar transaction or proceeding, or steps in contemplation of such activities (e.g. due diligence), some or all Other Information may be shared or transferred as part of the transaction thereof, subject to standard confidentiality practices and in accordance with the Indian laws."", 'IRCPL reserves the right to change or update this policy at any time. Such changes shall be effective immediately upon posting to the Site.', 'Ranka Junction, No. 224 (old Sy No.80/3), 4th Floor,', 'Vijinapura, Old Madras Road, K R Puram, Bangalore, Karnataka - 560016 India', '| Copyright © 2020-2022 Supermarket Grocery Supplies Pvt Ltd']"
